"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
2.457834333E0,1.000321880E-1,-3.949177265E-2,4.479267821E-2,1.165007415E-1
2.467791333E0,6.930924207E-2,-3.491952270E-2,4.888235405E-2,9.172038290E-2
2.477749333E0,3.485912457E-2,-3.262840956E-2,5.336312205E-2,7.160582707E-2
2.487706333E0,2.789237536E-3,-3.065294027E-2,4.829613864E-2,5.727040773E-2
2.497664333E0,-2.094831690E-2,-2.806621417E-2,3.914045542E-2,5.252161088E-2
2.507621333E0,-4.129583016E-2,-2.339573391E-2,3.277707845E-2,5.768052380E-2
2.517579333E0,-5.732566118E-2,-2.035227232E-2,3.224231675E-2,6.884775529E-2
2.527536333E0,-6.993643939E-2,-1.328040473E-2,3.691210598E-2,8.018714531E-2
2.537494333E0,-7.739542425E-2,-4.442971665E-3,4.826888815E-2,9.132183339E-2
2.547452333E0,-7.881036401E-2,-5.377372727E-4,4.998670146E-2,9.332755734E-2
2.557409333E0,-7.205179334E-2,4.452760331E-3,4.859972745E-2,8.702425815E-2
2.567367333E0,-5.886976793E-2,8.084643632E-3,3.967721388E-2,7.145132847E-2
2.577324333E0,-3.765822202E-2,1.621767133E-2,4.107617587E-2,5.803797699E-2
2.587282333E0,-1.748370752E-2,2.069233917E-2,4.043081403E-2,4.866727496E-2
2.597239333E0,7.143874653E-3,2.576246671E-2,4.218290746E-2,4.994133877E-2
2.607197333E0,3.632058576E-2,3.367276862E-2,3.463602811E-2,6.043752758E-2
2.617154333E0,6.356072426E-2,3.542646021E-2,2.550165355E-2,7.710599254E-2
2.627112333E0,9.521868825E-2,4.568244144E-2,1.655219868E-2,1.068992953E-1
2.637069208E0,1.264674217E-1,4.760790616E-2,1.090709679E-2,1.355709638E-1
2.647027208E0,1.514054388E-1,5.212819576E-2,1.227830816E-2,1.605979842E-1
2.656984208E0,1.623757929E-1,5.511013418E-2,1.310548559E-2,1.719731920E-1
2.666942208E0,1.719028056E-1,5.646286532E-2,1.655954123E-2,1.816943811E-1
2.676899208E0,1.685328335E-1,5.677232146E-2,1.652758196E-2,1.786045167E-1
2.686857208E0,1.545285434E-1,6.085813791E-2,1.344926283E-2,1.666243269E-1
2.696814208E0,1.347796023E-1,6.218066067E-2,1.004600897E-2,1.487712944E-1
2.706772208E0,1.066939905E-1,6.525227427E-2,7.621974684E-3,1.252978907E-1
2.716729208E0,8.065173775E-2,6.686561555E-2,6.884546019E-3,1.049910011E-1
2.726687208E0,4.695013538E-2,6.665416807E-2,4.958752543E-4,8.153121626E-2
2.736645208E0,1.892649382E-2,6.757801771E-2,-6.008629687E-3,7.043510685E-2
2.746602208E0,-8.796478622E-3,6.537242979E-2,-1.064880565E-2,6.681563944E-2
2.756560208E0,-3.379610553E-2,6.460038573E-2,-1.437829621E-2,7.431098160E-2
2.766517208E0,-5.927368253E-2,5.932288244E-2,-1.599535719E-2,8.537227462E-2
2.776475208E0,-7.412027568E-2,5.454197899E-2,-2.024416439E-2,9.422562778E-2
2.786432208E0,-9.556858987E-2,5.152105168E-2,-1.674819738E-2,1.098557065E-1
2.796390208E0,-1.075727865E-1,5.420019478E-2,-8.751789108E-3,1.207731730E-1
2.806347208E0,-1.165597886E-1,5.279999971E-2,-1.041708607E-2,1.283843447E-1
2.816305208E0,-1.194250807E-1,5.336485431E-2,-8.834634908E-3,1.311038075E-1
2.826262208E0,-1.168151945E-1,4.857527837E-2,-1.564281993E-2,1.274756649E-1
2.836220208E0,-1.038495898E-1,4.354856163E-2,-1.879786700E-2,1.141690603E-1
2.846177208E0,-8.236373216E-2,3.617116809E-2,-2.110926062E-2,9.239988452E-2
2.856135208E0,-6.103421003E-2,3.295274079E-2,-2.264909819E-2,7.296601653E-2
2.866092208E0,-3.391390294E-2,2.682197653E-2,-2.854217775E-2,5.180952758E-2
2.876050208E0,-4.275315907E-3,2.265626006E-2,-3.252200782E-2,3.986559217E-2
2.886007208E0,2.430510707E-2,1.742243022E-2,-3.965153173E-2,4.966410447E-2
2.895965208E0,4.993510246E-2,1.480614115E-2,-4.083237797E-2,6.618171473E-2
2.905922208E0,6.388597935E-2,1.235398278E-2,-3.975883126E-2,7.625486156E-2
2.915880208E0,7.401371747E-2,9.433293715E-3,-3.401572257E-2,8.200052918E-2
2.925838208E0,7.614042610E-2,6.262855604E-3,-3.128721565E-2,8.255590657E-2
2.935795208E0,7.155312598E-2,1.295793802E-3,-2.935296297E-2,7.735066486E-2
2.945753208E0,6.150014699E-2,-1.777122030E-3,-2.839640342E-2,6.776268862E-2
2.955710208E0,4.625461251E-2,-7.201714441E-3,-3.269740939E-2,5.710056436E-2
